"TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"Balanopaceae","Malpighiales",192
"Balanophoraceae","Santalales",276
"Balsameaceae","Sapindales",NA
"Balsaminaceae","Ericales",323
"Bambusaceae","Poales",NA
"Barbaceniaceae","Pandanales",NA
"Barbeuiaceae","Caryophyllales",302
"Barbeyaceae","Rosales",148
"Barclayaceae","Nymphaeales",NA
"Barringtoniaceae","Ericales",NA
"Basellaceae","Caryophyllales",311
"Bataceae","Brassicales",264
"Baueraceae","Oxalidales",NA
"Bauhiniaceae","Fabales",NA
"Baxteriaceae","unplacedCommelinid",NA
"Begoniaceae","Cucurbitales",170
"Behniaceae","Asparagales",NA
"Belangeraceae","Oxalidales",NA
"Belloniaceae","Lamiales",NA
"Bembiciaceae","Malpighiales",NA
"Berberidaceae","Ranunculales",113
"Berberidopsidaceae","Berberidopsidales",275
"Berryaceae","Malvales",NA
"Bersamaceae","Geraniales",NA
"Bertyaceae","Malpighiales",NA
"Berzeliaceae","Bruniales",NA
"Besleriaceae","Lamiales",NA
"Betaceae","Caryophyllales",NA
"Betulaceae","Fagales",162
"Biebersteiniaceae","Sapindales",235
"Bifariaceae","Santalales",NA
"Bignoniaceae","Lamiales",379
"Bischofiaceae","Malpighiales",NA
"Bixaceae","Malvales",253
"Blakeaceae","Myrtales",NA
"Blandfordiaceae","Asparagales",64
"Blattiaceae","Myrtales",NA
"Blepharocaryaceae","Sapindales",NA
"Blitaceae","Caryophyllales",NA
"Blyxaceae","Alismatales",NA
"Boerlagellaceae","Ericales",NA
"Bogutchanthaceae","fossil_Hamamelidales",NA
"Bolivaraceae","Lamiales",NA
"Bombacaceae","Malvales",NA
"Bonnetiaceae","Malpighiales",212
"Bontiaceae","Lamiales",NA
"Boopidaceae","Asterales",NA
"Boraginaceae","Boraginales",356
"Borassaceae","Arecales",NA
"Boroniaceae","Sapindales",NA
"Borthwickiaceae","Brassicales",NA
"Boryaceae","Asparagales",63
"Botryodendraceae","Apiales",NA
"Bougainvilleaceae","Caryophyllales",NA
"Boweniaceae","Cycadales",NA
"Brachycaulaceae","Saxifragales",NA
"Brassicaceae","Brassicales",273
"Bretschneideraceae","Brassicales",NA
"Brexiaceae","Celastrales",NA
"Bromaceae","Poales",NA
"Bromeliaceae","Poales",92
"Browalliaceae","Solanales",NA
"Brownlowiaceae","Malvales",NA
"Brunelliaceae","Oxalidales",179
"Bruniaceae","Bruniales",403
"Brunoniaceae","Asterales",NA
"Brunsvigiaceae","Asparagales",NA
"Bryoniaceae","Cucurbitales",NA
"Buchneraceae","Lamiales",NA
"Bucidaceae","Myrtales",NA
"Buddlejaceae","Lamiales",NA
"Buglossaceae","Boraginales",NA
"Bulbocodiaceae","Liliales",NA
"Bumeliaceae","Ericales",NA
"Bupleuraceae","Apiales",NA
"Burchardiaceae","Liliales",NA
"Burmanniaceae","Dioscoreales",45
"Burseraceae","Sapindales",238
"Butneriaceae","Laurales",NA
"Butomaceae","Alismatales",33
"Buxaceae","Buxales",121
"Byblidaceae","Lamiales",383
"Byttneriaceae","Malvales",NA
"Cabombaceae","Nymphaeales",3
"Cacaoaceae","Malvales",NA
"Cactaceae","Caryophyllales",316
"Caesalpiniaceae","Fabales",NA
"Caladiaceae","Alismatales",NA
"Calamaceae","Arecales",NA
"Calceolariaceae","Lamiales",366
"Calectasiaceae","unplacedCommelinid",NA
"Calendulaceae","Asterales",NA
"Callaceae","Alismatales",NA
"Callicomaceae","Oxalidales",NA
"Calligonaceae","Caryophyllales",NA
"Callitraceae","Pinales",NA
"Callitrichaceae","Lamiales",NA
"Calochortaceae","Liliales",NA
"Calophyllaceae","Malpighiales",210
"Calthaceae","Ranunculales",NA
"Calycanthaceae","Laurales",22
"Calyceraceae","Asterales",399
"Cambogiaceae","Malpighiales",NA
"Camelliaceae","Ericales",NA
"Campanulaceae","Asterales",391
"Campynemataceae","Liliales",52
"Canacomyricaceae","Fagales",NA
"Canellaceae","Canellales",9
"Cannabaceae","Rosales",153
"Cannaceae","Zingiberales",86
"Canopodaceae","Santalales",NA
"Canotiaceae","Celastrales",NA
"Cansjeraceae","Santalales",NA
"Capparaceae","Brassicales",271
"Caprariaceae","Lamiales",NA
"Caprifoliaceae","Dipsacales",406
"Cardiopteridaceae","Aquifoliales",386
"Carduaceae","Asterales",NA
"Caricaceae","Brassicales",260
"Carissaceae","Gentianales",NA
"Carlemanniaceae","Lamiales",363
"Carlinaceae","Asterales",NA
"Carpinaceae","Fagales",NA
"Carpodetaceae","Asterales",NA
"Cartonemataceae","Commelinales",NA
"Caryocaraceae","Malpighiales",205
"Caryophyllaceae","Caryophyllales",296
"Cassiaceae","Fabales",NA
"Cassipoureaceae","Malpighiales",NA
"Cassythaceae","Laurales",NA
"Castaneaceae","Fagales",NA
"Castelaceae","Sapindales",NA
"Casuarinaceae","Fagales",160
"Catesbaeaceae","Gentianales",NA
"Cathedraceae","Santalales",NA
"Caucaulidaceae","Apiales",NA
"Cecropiaceae","Rosales",NA
"Cedraceae","Pinales",NA
"Cedrelaceae","Sapindales",NA
"Celastraceae","Celastrales",172
"Celosiaceae","Caryophyllales",NA
"Celtidaceae","Rosales",NA
"Centaureaceae","Asterales",NA
"Centrolepidaceae","Poales",101
"Centroplacaceae","Malpighiales",185
"Cepaceae","Asparagales",NA
"Cephalanthaceae","Gentianales",NA
"Cephalotaceae","Oxalidales",178
"Cephalotaxaceae","Pinales",NA
"Cerastiaceae","Caryophyllales",NA
"Ceratoniaceae","Fabales",NA
"Ceratophyllaceae","Ceratophyllales",107
"Cerberaceae","Gentianales",NA
"Cercidiphyllaceae","Saxifragales",129
"Cercocarpaceae","Rosales",NA
"Cercodiaceae","Saxifragales",NA
"Cereaceae","Caryophyllales",NA
"Cerinthaceae","Boraginales",NA
"Ceroxylaceae","Arecales",NA
"Cervantesiaceae","Santalales",NA
"Cestraceae","Solanales",NA
"Cevalliaceae","Cornales",NA
"Chaeturaceae","Poales",NA
"Chailletiaceae","Malpighiales",NA
"Chamaedoraceae","Arecales",NA
"Chamaemoraceae","Rosales",NA
"Chamelauciaceae","Myrtales",NA
"Chaunochitonaceae","Santalales",NA
"Cheilosaceae","Malpighiales",NA
"Chelidoniaceae","Ranunculales",NA
"Chelonaceae","Lamiales",NA
"Chenopodiaceae","Caryophyllales",NA
"Chimonanthaceae","Laurales",NA
"Chingithamnaceae","Celastrales",NA
"Chionographidaceae","Liliales",NA
"Chiranthodendraceae","Malvales",NA
"Chironiaceae","Gentianales",NA
"Chlaenaceae","Malvales",NA
"Chloanthaceae","Lamiales",NA
"Chloranthaceae","Chloranthales",8
"Chloridaceae","Poales",NA
"Chlorogalaceae","Asparagales",NA
"Chrysobalanaceae","Malpighiales",196
"Chrysospleniaceae","Saxifragales",NA
"Ciceraceae","Fabales",NA
"Cichoriaceae","Asterales",NA
"Cimicifugaceae","Ranunculales",NA
"Cinchoniaceae","Gentianales",NA
"Circaeaceae","Myrtales",NA
"Circaeasteraceae","Ranunculales",110
"Cissaceae","Vitales",NA
"Cistaceae","Malvales",255
"Citraceae","Sapindales",NA
"Clematidaceae","Ranunculales",NA
"Cleomaceae","Brassicales",272
"Clethraceae","Ericales",341
"Clusiaceae","Malpighiales",211
"Cneoraceae","Sapindales",NA
"Cnestidaceae","Oxalidales",NA
"Cnicaceae","Asterales",NA
"Cobaeaceae","Ericales",NA
"Cochlospermaceae","Malvales",NA
"Cocosaceae","Arecales",NA
"Codonaceae","Boraginales",NA
"Coeleanthaceae","Poales",NA
"Coffeaceae","Gentianales",NA
"Colchicaceae","Liliales",56
"Coleogynaceae","Rosales",NA
"Colocasiaceae","Alismatales",NA
"Columelliaceae","Bruniales",402
"Comandraceae","Santalales",NA
"Combretaceae","Myrtales",218
"Commelinaceae","Commelinales",78
"Comocladiaceae","Sapindales",NA
"Compositae","Asterales",NA
"Compsoaceae","Liliales",NA
"Conantheraceae","Asparagales",NA
"Connaraceae","Oxalidales",174
"Conostylidaceae","Commelinales",NA
"Convallariaceae","Asparagales",NA
"Convolvulaceae","Solanales",357
"Cordiaceae","Boraginales",NA
"Coreopsidaceae","Asterales",NA
"Coriandraceae","Apiales",NA
"Coriariaceae","Cucurbitales",166
"Coridaceae","Ericales",NA
"Corispermaceae","Caryophyllales",NA
"Cornaceae","Cornales",320
"Corokiaceae","Asterales",NA
"Coronillaceae","Fabales",NA
"Correaceae","Sapindales",NA
"Corrigiolaceae","Caryophyllales",NA
"Corsiaceae","Liliales",60
"Corydalaceae","Ranunculales",NA
"Corylaceae","Fagales",NA
"Corynocarpaceae","Cucurbitales",165
"Coryphaceae","Arecales",NA
"Costaceae","Zingiberales",88
"Cotyledonaceae","Saxifragales",NA
"Coulaceae","Santalales",NA
"Coutariaceae","Gentianales",NA
"Coutoubeaceae","Gentianales",NA
"Crassulaceae","Saxifragales",134
"Crescentiaceae","Lamiales",NA
"Cressaceae","Solanales",NA
"Crinaceae","Asparagales",NA
"Crocaceae","Asparagales",NA
"Croomiaceae","Pandanales",NA
"Crossosomataceae","Crossosomatales",233
"Crotonaceae","Malpighiales",NA
"Cruciferae","Brassicales",NA
"Cryptaceae","Malpighiales",NA
"Crypteroniaceae","Myrtales",224
"Cryptocorynaceae","Alismatales",NA
"Cryptomeriaceae","Pinales",NA
"Ctenolophonaceae","Malpighiales",186
"Cucurbitaceae","Cucurbitales",167
"Cunninghamiaceae","Pinales",NA
"Cunoniaceae","Oxalidales",176
"Cupressaceae","Pinales",NA
"Curcumaceae","Zingiberales",NA
"Curtisiaceae","Cornales",318
"Cuscutaceae","Solanales",NA
"Cyananthaceae","Asterales",NA
"Cyanastraceae","Asparagales",NA
"Cyanellaceae","Asparagales",NA
"Cycadaceae","Cycadales",NA
"Cyclanthaceae","Pandanales",50
"Cyclantheraceae","Cucurbitales",NA
"Cyclocheilaceae","Lamiales",NA
"Cydoniaceae","Rosales",NA
"Cymodoceaceae","Alismatales",42
"Cynanchaceae","Gentianales",NA
"Cynaraceae","Asterales",NA
"Cynocrambaceae","Gentianales",NA
"Cynodontaceae","Poales",NA
"Cynoglossaceae","Boraginales",NA
"Cynomoriaceae","Saxifragales",139
"Cynosuraceae","Poales",NA
"Cyperaceae","Poales",99
"Cyphiaceae","Asterales",NA
"Cyphocarpaceae","Asterales",NA
"Cypripediaceae","Asparagales",NA
"Cyrillaceae","Ericales",342
"Cyrtandraceae","Lamiales",NA
"Cyrtanthaceae","Asparagales",NA
"Cytinaceae","Malvales",247
"Dacrycarpaceae","Pinales",NA
"Dactylanthaceae","Santalales",NA
"Dalbergiaceae","Fabales",NA
"Daleaceae","Fabales",NA
"Damasoniaceae","Alismatales",NA
"Daphnaceae","Malvales",NA
"Daphniphyllaceae","Saxifragales",130
"Dasypogonaceae","unplacedCommelinid",90
"Datiscaceae","Cucurbitales",169
"Daturaceae","Solanales",NA
"Daucaceae","Apiales",NA
"Davidiaceae","Cornales",NA
"Davidsoniaceae","Oxalidales",NA
"Decaisneaceae","Ranunculales",NA
"Deeringiaceae","Caryophyllales",NA
"Degeneriaceae","Magnoliales",18
"Delimaceae","Dilleniales",NA
"Delphiniaceae","Ranunculales",NA
"Dendrophthoaceae","Santalales",NA
"Desfontainiaceae","Bruniales",NA
"Detariaceae","Fabales",NA
"Dialypetalanthaceae","Gentianales",NA
"Dianellaceae","Asparagales",NA
"Dianthaceae","Caryophyllales",NA
"Diapensiaceae","Ericales",336
"Dichapetalaceae","Malpighiales",194
"Dichondraceae","Solanales",NA
"Diclidantheraceae","Fabales",NA
"Dicrastylidiaceae","Lamiales",NA
"Dictamnaceae","Sapindales",NA
"Didiereaceae","Caryophyllales",310
"Didymelaceae","Buxales",NA
"Didymocarpaceae","Lamiales",NA
"Diegodendraceae","Malvales",NA
"Diervillaceae","Dipsacales",NA
"Digitalidaceae","Lamiales",NA
"Dilatridaceae","Commelinales",NA
"Dilleniaceae","Dilleniales",124
"Dioaceae","Cycadales",NA
"Dionaeaceae","Caryophyllales",NA
"Dioncophyllaceae","Caryophyllales",290
"Dioscoreaceae","Dioscoreales",46
"Diosmaceae","Sapindales",NA
"Diospyraceae","Ericales",NA
"Dipentodontaceae","Huerteales",246
"Diphylleiaceae","Ranunculales",NA
"Diplolaenaceae","Sapindales",NA
"Dipsacaceae","Dipsacales",NA
"Dipterocarpaceae","Malvales",256
"Dirachmaceae","Rosales",149
"Disanthaceae","Saxifragales",NA
"Diselmaceae","Pinales",NA
"Dodonaeaceae","Sapindales",NA
"Dombeyaceae","Malvales",NA
"Donatiaceae","Asterales",NA
"Dorsteniaceae","Rosales",NA
"Dortmannaceae","Asterales",NA
"Doryanthaceae","Asparagales",69
"Drabaceae","Brassicales",NA
"Dracaenaceae","Asparagales",NA
"Dracontiaceae","Alismatales",NA
"Drimyidaceae","Canellales",NA
"Droseraceae","Caryophyllales",287
"Drosophyllaceae","Caryophyllales",289
"Dryadaceae","Rosales",NA
"Duabangaceae","Myrtales",NA
"Duckeodendraceae","Solanales",NA
"Dulongiaceae","Aquifoliales",NA
"Durantaceae","Lamiales",NA
"Durionaceae","Malvales",NA
"Dysphaniaceae","Caryophyllales",NA
"Ebenaceae","Ericales",332
"Eccremidaceae","Asparagales",NA
"Ecdeiocoleaceae","Poales",105
"Echiaceae","Boraginales",NA
"Echinariaceae","Poales",NA
"Echinopaceae","Asterales",NA
"Ehretiaceae","Boraginales",NA
"Ehrhartaceae","Poales",NA
"Elaeagnaceae","Rosales",150
"Elaeocarpaceae","Oxalidales",177
"Elatinaceae","Malpighiales",190
"Elegiaceae","Poales",NA
"Ellisiaceae","Boraginales",NA
"Ellisiophyllaceae","Lamiales",NA
"Elodeaceae","Alismatales",NA
"Elytranthaceae","Santalales",NA
"Embeliaceae","Ericales",NA
"Emblingiaceae","Brassicales",266
"Emmotaceae","NearGarryales",NA
"Empetraceae","Ericales",NA
"Encephalartaceae","Cycadales",NA
"Engelhardtiaceae","Fagales",NA
"Enhalaceae","Alismatales",NA
"Epacridaceae","Ericales",NA
"Ephedraceae","Gnetales",NA
"Ephemeranthaceae","Commelinales",NA
"Epilobiaceae","Myrtales",NA
"Epimediaceae","Ranunculales",NA
"Eragrostidaceae","Poales",NA
"Eremolepidaceae","Santalales",NA
"Eremosynaceae","Escalloniales",NA
"Ericaceae","Ericales",344
"Erinaceae","Lamiales",NA
"Eriocaulaceae","Poales",95
"Eriogonaceae","Caryophyllales",NA
"Eriospermaceae","Asparagales",NA
"Erodiaceae","Geraniales",NA
"Erycibaceae","Solanales",NA
"Eryngiaceae","Apiales",NA
"Erysimaceae","Brassicales",NA
"Erythroniaceae","Liliales",NA
"Erythropalaceae","Santalales",NA
"Erythrospermaceae","Malpighiales",NA
"Erythroxylaceae","Malpighiales",182
"Escalloniaceae","Escalloniales",401
"Eschscholziaceae","Ranunculales",NA
"Eucomidaceae","Asparagales",NA
"Eucommiaceae","Garryales",348
"Eucryphiaceae","Oxalidales",NA
"Eugeniaceae","Myrtales",NA
"Euonymaceae","Celastrales",NA
"Eupatoriaceae","Asterales",NA
"Euphorbiaceae","Malpighiales",184
"Euphrasiaceae","Lamiales",NA
"Euphroniaceae","Malpighiales",195
"Eupomatiaceae","Magnoliales",20
"Eupteleaceae","Ranunculales",108
"Euryalaceae","Nymphaeales",NA
"Eustrephaceae","Asparagales",NA
"Euthemidaceae","Malpighiales",NA
"Eutocaceae","Boraginales",NA
"Evolvulaceae","Solanales",NA
"ex-Icacinaceae","NearGarryales",NA
"Exbucklandiaceae","Saxifragales",NA
"Exocarpaceae","Santalales",NA
"Fabaceae","Fabales",144
"Fagaceae","Fagales",157
"Falcatifoliaceae","Pinales",NA
"Ferulaceae","Apiales",NA
"Festucaceae","Poales",NA
"Ficaceae","Rosales",NA
"Ficoidaceae","Caryophyllales",NA
"Fitzroyaceae","Pinales",NA
"Flacourtiaceae","Malpighiales",NA
"Flagellariaceae","Poales",103
"Flindersiaceae","Sapindales",NA
"Foetidiaceae","Ericales",NA
"Forestieraceae","Lamiales",NA
"Fothergillaceae","Saxifragales",NA
"Fouquieriaceae","Ericales",326
"Fragariaceae","Rosales",NA
"Francoaceae","Geraniales",NA
"Frangulaceae","Rosales",NA
"Frankeniaceae","Caryophyllales",283
"Fraxinaceae","Lamiales",NA
"Fraxinellaceae","Sapindales",NA
"Freycinetiaceae","Pandanales",NA
"Fritillariaceae","Liliales",NA
"Fuchsiaceae","Myrtales",NA
"Fumariaceae","Ranunculales",NA
"Funkiaceae","Asparagales",NA
"Gaiadendraceae","Santalales",NA
"Galacinaceae","Ericales",NA
"Galanthaceae","Asparagales",NA
"Galaxiaceae","Asparagales",NA
"Galedupaceae","Fabales",NA
"Galeniaceae","Caryophyllales",NA
"Galiaceae","Gentianales",NA
"Garciniaceae","Malpighiales",NA
"Gardeniaceae","Gentianales",NA
"Gardneriaceae","Gentianales",NA
"Garryaceae","Garryales",349
"Geissolomataceae","Crossosomatales",228
"Geitonoplesiaceae","Asparagales",NA
"Gelsemiaceae","Gentianales",353
"Geniostomataceae","Gentianales",NA
"Gentianaceae","Gentianales",351
"Geoffroeaceae","Fabales",NA
"Geonomataceae","Arecales",NA
"Geosiridaceae","Asparagales",NA
"Geraniaceae","Geraniales",215
"Gerrardinaceae","Huerteales",244
"Gesneriaceae","Lamiales",367
"Gethyllidaceae","Asparagales",NA
"Gilliesiaceae","Asparagales",NA
"Ginalloaceae","Santalales",NA
"Ginkgoaceae","Ginkgoales",NA
"Gisekiaceae","Caryophyllales",303
"Gladiolaceae","Asparagales",NA
"Glaucidiaceae","Ranunculales",NA
"Glechomaceae","Lamiales",NA
"Glinaceae","Caryophyllales",NA
"Globulariaceae","Lamiales",NA
"Glyceriaceae","Poales",NA
"Gnaphaliaceae","Asterales",NA
"Gnetaceae","Gnetales",NA
"Gnidiaceae","Malvales",NA
"Goetzeaceae","Solanales",NA
"Gomortegaceae","Laurales",24
"Gomphiaceae","Malpighiales",NA
"Gomphrenaceae","Caryophyllales",NA
"Gonystylaceae","Malvales",NA
"Goodeniaceae","Asterales",398
"Gordoniaceae","Ericales",NA
"Gouaniaceae","Rosales",NA
"Goupiaceae","Malpighiales",203
"Gramineae","Poales",NA
"Gratiolaceae","Lamiales",NA
"Grewiaceae","Malvales",NA
"Greyiaceae","Geraniales",NA
"Grielaceae","Malvales",NA
"Grindeliaceae","Asterales",NA
"Griseliniaceae","Apiales",409
"Gronoviaceae","Cornales",NA
"Grossulariaceae","Saxifragales",132
"Grubbiaceae","Cornales",319
"Guaiacanaceae","Ericales",NA
"Guamatelaceae","Crossosomatales",NA
"Guettardaceae","Gentianales",NA
"Gunneraceae","Gunnerales",123
"Gustaviaceae","Ericales",NA
"Guttiferae","Malpighiales",NA
"Gyrocarpaceae","Laurales",NA
"Gyrostemonaceae","Brassicales",269
"Hachetteaceae","Santalales",NA
"Haemanthaceae","Asparagales",NA
"Haemodoraceae","Commelinales",81
"Halesiaceae","Ericales",NA
"Hallieraceae","Lamiales",NA
"Halocarpaceae","Pinales",NA
"Halophilaceae","Alismatales",NA
"Halophytaceae","Caryophyllales",312
"Haloragaceae","Saxifragales",138
"Hamamelidaceae","Saxifragales",128
"Hameliaceae","Gentianales",NA
"Hanguanaceae","Commelinales",77
"Haptanthaceae","Buxales",120
"Harmandiaceae","Santalales",NA
"Hebenstretiaceae","Lamiales",NA
"Hectorellaceae","Caryophyllales",NA
"Hederaceae","Apiales",NA
"Hedyosmaceae","Chloranthales",NA
"Hedyotidaceae","Gentianales",NA
"Hedysaraceae","Fabales",NA
"Heisteriaceae","Santalales",NA
"Heleniaceae","Asterales",NA
"Heliamphoraceae","Ericales",NA
"Helianthaceae","Asterales",NA
"Helianthemaceae","Malvales",NA
"Helichrysaceae","Asterales",NA
"Heliconiaceae","Zingiberales",84
"Helicteraceae","Malvales",NA
"Heliotropiaceae","Boraginales",NA
"Helleboraceae","Ranunculales",NA
"Heloniadaceae","Liliales",NA
"Helosidaceae","Santalales",NA
"Helwingiaceae","Aquifoliales",388
"Hemerocallidaceae","Asparagales",NA
"Hemimeridaceae","Lamiales",NA
"Hemiphylacaceae","Asparagales",NA
"Henriqueziaceae","Gentianales",NA
"Henslowiaceae","Myrtales",NA
"Hermanniaceae","Malvales",NA
"Hernandiaceae","Laurales",26
"Herniariaceae","Caryophyllales",NA
"Herreriaceae","Asparagales",NA
"Hesperocallidaceae","Asparagales",NA
"Heterantheraceae","Commelinales",NA
"Heteropyxidaceae","Myrtales",NA
"Heterostylaceae","Alismatales",NA
"Hibbertiaceae","Dilleniales",NA
"Hibiscaceae","Malvales",NA
"Hilleriaceae","Caryophyllales",NA
"Himantandraceae","Magnoliales",19
"Hippocastanaceae","Sapindales",NA
"Hippocrateaceae","Celastrales",NA
"Hippomanaceae","Malpighiales",NA
"Hippophaeaceae","Rosales",NA
"Hippuridaceae","Lamiales",NA
"Hirtellaceae","Malpighiales",NA
"Holacanthaceae","Sapindales",NA
"Holcaceae","Poales",NA
"Homaliaceae","Malpighiales",NA
"Hopkinsiaceae","Poales",NA
"Hoplestigmataceae","Boraginales",NA
"Hordeaceae","Poales",NA
"Hornschuchiaceae","Magnoliales",NA
"Hortensiaceae","Cornales",NA
"Hortoniaceae","Laurales",NA
"Hostaceae","Asparagales",NA
"Hottoniaceae","Ericales",NA
"Houstoniaceae","Gentianales",NA
"Huaceae","Oxalidales",173
"Huerteaceae","Huerteales",NA
"Hugoniaceae","Malpighiales",NA
"Humbertiaceae","Solanales",NA
"Humiriaceae","Malpighiales",206
"Humulaceae","Rosales",NA
"Hyacinthaceae","Asparagales",NA
"Hydatellaceae","Nymphaeales",2
"Hydnoraceae","Piperales",14
"Hydrangeaceae","Cornales",321
"Hydrastidaceae","Ranunculales",NA
