KEW_FAMILY_EXT,QUERY,KEW_GENUS_EXT
Acanthaceae,Averia,Justicia
Acanthaceae,Aystasia,Aystasia
Acanthaceae,Ballochia,Ballochia
Acanthaceae,Banjolea,Banjolea
Acanthaceae,Baphicacanthus,Strobilanthes
Acanthaceae,Barleria,Barleria
Acanthaceae,Barleriacanthus,Barleria
Acanthaceae,Barlerianthus,Barleria
Acanthaceae,Barleriola,Barleriola
Acanthaceae,Barleriosiphon,Barleria
Acanthaceae,Barlerites,Barleria
Acanthaceae,Beloperone,Justicia
Acanthaceae,Benoicanthus,Benoicanthus
Acanthaceae,Bentia,Justicia
Acanthaceae,Berginia,Holographis
Acanthaceae,Birnbaumia,Birnbaumia
Acanthaceae,Blechum,Blechum
Acanthaceae,Blepharacanthus,Blepharis
Acanthaceae,Blepharis,Blepharis
Acanthaceae,Borneacanthus,Borneacanthus
Acanthaceae,Brachystephanus,Brachystephanus
Acanthaceae,Bravaisia,Bravaisia
Acanthaceae,Bremekampia,Haplanthodes
Acanthaceae,Brillantaisia,Brillantaisia
Acanthaceae,Brochosiphon,Dicliptera
Acanthaceae,Brunoniella,Brunoniella
Acanthaceae,Buceragenia,Buceragenia
Acanthaceae,Butayea,Sclerochiton
Acanthaceae,Buteraea,Strobilanthes
Acanthaceae,Calacanthus,Calacanthus
Acanthaceae,Caldenbachia,Caldenbachia
Acanthaceae,Calliaspidia,Justicia
Acanthaceae,Calophanes,Dyschoriste
Acanthaceae,Calophanoides,Justicia
Acanthaceae,Calycacanthus,Calycacanthus
Acanthaceae,Calymmostachya,Justicia
Acanthaceae,Camarotea,Camarotea
Acanthaceae,Cardanthera,Hygrophila
Acanthaceae,Cardiacanthus,Carlowrightia
Acanthaceae,Carlowrightia,Carlowrightia
Acanthaceae,Carvia,Strobilanthes
Acanthaceae,Celerina,Celerina
Acanthaceae,Centrilla,Centrilla
Acanthaceae,Cephalacanthus,Cephalacanthus
Acanthaceae,Cephalophis,Cephalophis
Acanthaceae,Chaetacanthus,Chaetacanthus
Acanthaceae,Chaetochlamys,Justicia
Acanthaceae,Chaetothylax,Justicia
Acanthaceae,Chaetothylopsis,Justicia
Acanthaceae,Chalarothyrsus,Chalarothyrsus
Acanthaceae,Chamaeranthemum,Chamaeranthemum
Acanthaceae,Championella,Strobilanthes
Acanthaceae,Cheilopsis,Acanthus
Acanthaceae,Chileranthemum,Chileranthemum
Acanthaceae,Chiloglossa,Justicia
Acanthaceae,Chingiacanthus,Isoglossa
Acanthaceae,Chlamydacanthus,Chlamydacanthus
Acanthaceae,Chlamydocardia,Chlamydocardia
Acanthaceae,Chlamydostachya,Chlamydostachya
Acanthaceae,Chorisochora,Chorisochora
Acanthaceae,Chrestienia,Pseuderanthemum
Acanthaceae,Chroesthes,Chroesthes
Acanthaceae,Clarkeasia,Clarkeasia
Acanthaceae,Clinacanthus,Clinacanthus
Acanthaceae,Clistax,Clistax
Acanthaceae,Codonacanthus,Codonacanthus
Acanthaceae,Conocalyx,Conocalyx
Acanthaceae,Copioglossa,Ruellia
Acanthaceae,Corymbostachys,Justicia
Acanthaceae,Corythacanthus,Corythacanthus
Acanthaceae,Cosmianthemum,Cosmianthemum
Acanthaceae,Crabbea,Crabbea
Acanthaceae,Crateola,Crateola
Acanthaceae,Croftia,Carlowrightia
Acanthaceae,Crossandra,Crossandra
Acanthaceae,Crossandrella,Crossandrella
Acanthaceae,Cryphiacanthus,Cryphiacanthus
Acanthaceae,Cryptophragmium,Gymnostachyum
Acanthaceae,Ctenopaepale,Strobilanthes
Acanthaceae,Cuenotia,Cuenotia
Acanthaceae,Cyclacanthus,Cyclacanthus
Acanthaceae,Cylindrosolenium,Cylindrosolenium
Acanthaceae,Cynarospermum,Cynarospermum
Acanthaceae,Cyphacanthus,Cyphacanthus
Acanthaceae,Cyphisia,Justicia
Acanthaceae,Cyrtacanthus,Cyrtacanthus
Acanthaceae,Cyrtanthera,Justicia
Acanthaceae,Cyrtantherella,Justicia
Acanthaceae,Cystacanthus,Cystacanthus
Acanthaceae,Dactylostegium,Dicliptera
Acanthaceae,Daedalacanthus,Eranthemum
Acanthaceae,Danguya,Danguya
Acanthaceae,Dasytropis,Dasytropis
Acanthaceae,Delphinacanthus,Pseudodicliptera
Acanthaceae,Diapedium,Diapedium
Acanthaceae,Diateinacanthus,Odontonema
Acanthaceae,Dicentranthera,Asystasia
Acanthaceae,Dichazothece,Dichazothece
Acanthaceae,Dicladanthera,Dicladanthera
Acanthaceae,Dicliptera,Dicliptera
Acanthaceae,Dicranacanthus,Barleria
Acanthaceae,Didyplosandra,Strobilanthes
Acanthaceae,Diflugossa,Strobilanthes
Acanthaceae,Digyroloma,Digyroloma
Acanthaceae,Dimanisa,Justicia
Acanthaceae,Dinteracanthus,Ruellia
Acanthaceae,Diotacanthus,Diotacanthus
Acanthaceae,Dipteracanthus,Ruellia
Acanthaceae,Dischistocalyx,Dischistocalyx
Acanthaceae,Distichocalyx,Dischistocalyx
Acanthaceae,Ditrichospermum,Strobilanthes
Acanthaceae,Dizygandra,Dizygandra
Acanthaceae,Dolichostachys,Dolichostachys
Acanthaceae,Dossifluga,Strobilanthes
Acanthaceae,Drejera,Drejera
Acanthaceae,Drejerella,Justicia
Acanthaceae,Duosperma,Duosperma
Acanthaceae,Duvernoia,Justicia
Acanthaceae,Dyschoriste,Dyschoriste
Acanthaceae,Dyspemptemorion,Justicia
Acanthaceae,Earlia,Earlia
Acanthaceae,Eberlea,Eberlea
Acanthaceae,Ebermaiera,Staurogyne
Acanthaceae,Ecbolium,Ecbolium
Acanthaceae,Echinacanthus,Echinacanthus
Acanthaceae,Echinopaepale,Strobilanthes
Acanthaceae,Ecteinanthus,Isoglossa
Acanthaceae,Elytraria,Elytraria
Acanthaceae,Emularia,Justicia
Acanthaceae,Encephalosphaera,Encephalosphaera
Acanthaceae,Endosiphon,Ruellia
Acanthaceae,Epiclastopelma,Epiclastopelma
Acanthaceae,Eranthemum,Eranthemum
Acanthaceae,Eremomastax,Eremomastax
Acanthaceae,Eriostrobilus,Strobilanthes
Acanthaceae,Erythracanthus,Staurogyne
Acanthaceae,Ethesia,Justicia
Acanthaceae,Eusiphon,Eusiphon
Acanthaceae,Fabria,Fabria
Acanthaceae,Filetia,Filetia
Acanthaceae,Fittonia,Fittonia
Acanthaceae,Flavicoma,Flavicoma
Acanthaceae,Forcipella,Forcipella
Acanthaceae,Forsythiopsis,Oplonia
Acanthaceae,Gantelbua,Hemigraphis
Acanthaceae,Gatesia,Yeatesia
Acanthaceae,Geissomeria,Geissomeria
Acanthaceae,Gendarussa,Justicia
Acanthaceae,Gilletiella,Anomacanthus
Acanthaceae,Glockeria,Habracanthus
Acanthaceae,Glosarithys,Justicia
Acanthaceae,Glossochilus,Glossochilus
Acanthaceae,Golaea,Golaea
Acanthaceae,Goldfussia,Strobilanthes
Acanthaceae,Graphandra,Graphandra
Acanthaceae,Graptophyllum,Graptophyllum
Acanthaceae,Gutzlaffia,Strobilanthes
Acanthaceae,Gymapsis,Strobilanthes
Acanthaceae,Gymnacanthus,Ruellia
Acanthaceae,Gymnophragma,Gymnophragma
Acanthaceae,Gymnostachyum,Gymnostachyum
Acanthaceae,Gynocraterium,Gynocraterium
Acanthaceae,Gypsacanthus,Gypsacanthus
Acanthaceae,Habracanthus,Habracanthus
Acanthaceae,Haemacanthus,Satanocrater
Acanthaceae,Hallieracantha,Ptyssiglottis
Acanthaceae,Hansteinia,Habracanthus
Acanthaceae,Haplanthera,Ruttya
Acanthaceae,Haplanthodes,Haplanthodes
Acanthaceae,Haplanthoides,Andrographis
Acanthaceae,Haplanthus,Andrographis
Acanthaceae,Harnieria,Justicia
Acanthaceae,Harpochilus,Harpochilus
Acanthaceae,Harrachia,Crossandra
Acanthaceae,Haselhoffia,Physacanthus
Acanthaceae,Heinzelia,Justicia
Acanthaceae,Hemiadelphis,Hygrophila
Acanthaceae,Hemichoriste,Justicia
Acanthaceae,Hemigraphis,Hemigraphis
Acanthaceae,Hemisandra,Aphelandra
Acanthaceae,Herpetacanthus,Herpetacanthus
Acanthaceae,Hesperanthemum,Hesperanthemum
Acanthaceae,Heteradelphia,Heteradelphia
Acanthaceae,Heteraspidia,Justicia
Acanthaceae,Hexacentris,Hexacentris
Acanthaceae,Himantochilus,Anisotes
Acanthaceae,Holographis,Holographis
Acanthaceae,Hoverdenia,Hoverdenia
Acanthaceae,Hulemacanthus,Hulemacanthus
Acanthaceae,Hydromestus,Aphelandra
Acanthaceae,Hygrophila,Hygrophila
Acanthaceae,Hymenochlaena,Strobilanthes
Acanthaceae,Hypoestes,Hypoestes
Acanthaceae,Ichthyostoma,Ichthyostoma
Acanthaceae,Idanthisa,Idanthisa
Acanthaceae,Indoneesiella,Indoneesiella
Acanthaceae,Ionacanthus,Ionacanthus
Acanthaceae,Isacanthus,Sclerochiton
Acanthaceae,Isaloa,Barleria
Acanthaceae,Isochoriste,Asystasia
Acanthaceae,Isoglossa,Isoglossa
Acanthaceae,Isotheca,Isotheca
Acanthaceae,Ixtlania,Justicia
Acanthaceae,Jacobinia,Justicia
Acanthaceae,Jadunia,Jadunia
Acanthaceae,Janasia,Janasia
Acanthaceae,Juruasia,Juruasia
Acanthaceae,Justicia,Justicia
Acanthaceae,Kalbreyeracanthus,Habracanthus
Acanthaceae,Kalbreyeriella,Kalbreyeriella
Acanthaceae,Kanjarum,Strobilanthes
Acanthaceae,Kita,Hygrophila
Acanthaceae,Kjellbergia,Strobilanthes
Acanthaceae,Kolobochilus,Kolobochilus
Acanthaceae,Kosmosiphon,Kosmosiphon
Acanthaceae,Kudoacanthus,Kudoacanthus
Acanthaceae,Kuestera,Justicia
Acanthaceae,Kuniria,Kuniria
Acanthaceae,Lagochilium,Aphelandra
Acanthaceae,Lamiacanthus,Strobilanthes
Acanthaceae,Lankesteria,Lankesteria
Acanthaceae,Larsenia,Strobilanthes
Acanthaceae,Lasiocladus,Lasiocladus
Acanthaceae,Leandriella,Leandriella
Acanthaceae,Leda,Isoglossa
Acanthaceae,Leiophaca,Whitfieldia
Acanthaceae,Lepidacanthus,Aphelandra
Acanthaceae,Lepidagathis,Lepidagathis
Acanthaceae,Leptacanthus,Strobilanthes
Acanthaceae,Leptosiphonium,Leptosiphonium
Acanthaceae,Leptostachya,Leptostachya
Acanthaceae,Leucobarleria,Neuracanthus
Acanthaceae,Leucoraphis,Brillantaisia
Acanthaceae,Liberatia,Lophostachys
Acanthaceae,Libonia,Justicia
Acanthaceae,Linariantha,Linariantha
Acanthaceae,Lindauea,Lindauea
Acanthaceae,Linocalix,Linocalix
Acanthaceae,Linocalyx,Justicia
Acanthaceae,Linostylis,Linostylis
Acanthaceae,Lirayea,Mendoncia
Acanthaceae,Lissospermum,Strobilanthes
Acanthaceae,Listrobanthes,Strobilanthes
Acanthaceae,Lophostachys,Lophostachys
Acanthaceae,Lophothecium,Justicia
Acanthaceae,Louteridium,Louteridium
Acanthaceae,Lundellia,Holographis
Acanthaceae,Lustrinia,Justicia
Acanthaceae,Lychniothyrsus,Lychniothyrsus
Acanthaceae,Mackaya,Mackaya
Acanthaceae,Mackenziea,Strobilanthes
Acanthaceae,Macrorungia,Anisotes
Acanthaceae,Mananthes,Justicia
Acanthaceae,Marcania,Marcania
Acanthaceae,Megalochlamys,Megalochlamys
Acanthaceae,Megalostoma,Megalostoma
Acanthaceae,Megaskepasma,Megaskepasma
Acanthaceae,Melittacanthus,Melittacanthus
Acanthaceae,Mellera,Mellera
Acanthaceae,Mendoncia,Mendoncia
Acanthaceae,Mendozia,Mendozia
Acanthaceae,Meninia,Meninia
Acanthaceae,Metarungia,Metarungia
Acanthaceae,Mexacanthus,Mexacanthus
Acanthaceae,Microstrobilus,Strobilanthes
Acanthaceae,Mimulopsis,Mimulopsis
Acanthaceae,Mirandea,Mirandea
Acanthaceae,Monachochlamys,Mendoncia
Acanthaceae,Monechma,Monechma
Acanthaceae,Monothecium,Monothecium
Acanthaceae,Morsacanthus,Morsacanthus
Acanthaceae,Nelsonia,Nelsonia
Acanthaceae,Neohallia,Neohallia
Acanthaceae,Neolindenia,Louteridium
Acanthaceae,Neowedia,Neowedia
Acanthaceae,Neozenkerina,Staurogyne
Acanthaceae,Neriacanthus,Neriacanthus
Acanthaceae,Neuracanthus,Neuracanthus
Acanthaceae,Nicoteba,Justicia
Acanthaceae,Nilgirianthus,Strobilanthes
Acanthaceae,Nomaphila,Hygrophila
Acanthaceae,Nothoruellia,Ruellia
Acanthaceae,Odontonema,Odontonema
Acanthaceae,Odontonemella,Mackaya
Acanthaceae,Odontophyllum,Aphelandra
Acanthaceae,Odontostigma,Gymnostachyum
Acanthaceae,Onus,Mellera
Acanthaceae,Onychacanthus,Bravaisia
Acanthaceae,Ophiorrhiziphyllon,Ophiorrhiziphyllon
Acanthaceae,Oplonia,Oplonia
Acanthaceae,Oreacanthus,Oreacanthus
Acanthaceae,Oreothyrsus,Ptyssiglottis
Acanthaceae,Orophochilus,Orophochilus
Acanthaceae,Orthotactus,Justicia
Acanthaceae,Pachystachys,Pachystachys
Acanthaceae,Pachystrobilus,Strobilanthes
Acanthaceae,Parabarleria,Barleria
Acanthaceae,Parachampionella,Strobilanthes
Acanthaceae,Paragoldfussia,Strobilanthes
Acanthaceae,Paragutzlaffia,Strobilanthes
Acanthaceae,Parajusticia,Justicia
Acanthaceae,Pararuellia,Pararuellia
Acanthaceae,Parastrobilanthes,Strobilanthes
Acanthaceae,Parasympagis,Strobilanthes
Acanthaceae,Parasystasia,Asystasia
Acanthaceae,Paulowilhelmia,Eremomastax
Acanthaceae,Pelecostemon,Pelecostemon
Acanthaceae,Pentstemonacanthus,Pentstemonacanthus
Acanthaceae,Perenideboles,Perenideboles
Acanthaceae,Periblema,Boutonia
Acanthaceae,Pericalypta,Pericalypta
Acanthaceae,Periestes,Hypoestes
Acanthaceae,Perilepta,Strobilanthes
Acanthaceae,Periletpa,Periletpa
Acanthaceae,Peristrophe,Peristrophe
Acanthaceae,Petalidium,Petalidium
Acanthaceae,Petracanthus,Gymnostachyum
Acanthaceae,Phaulopsis,Phaulopsis
Acanthaceae,Phaylopsis,Phaulopsis
Acanthaceae,Phialacanthus,Phialacanthus
Acanthaceae,Phidiasia,Odontonema
Acanthaceae,Phillipsia,Dyschoriste
Acanthaceae,Phlebophyllum,Strobilanthes
Acanthaceae,Phlogacanthus,Phlogacanthus
Acanthaceae,Physacanthus,Physacanthus
Acanthaceae,Plaesianthera,Brillantaisia
Acanthaceae,Plagiacanthus,Justicia
Acanthaceae,Plagiotheca,Isoglossa
Acanthaceae,Plegmatolemma,Justicia
Acanthaceae,Pleocaulus,Strobilanthes
Acanthaceae,Pleuroblepharis,Crossandra
Acanthaceae,Podorungia,Podorungia
Acanthaceae,Pogonospermum,Monechma
Acanthaceae,Poikilacanthus,Poikilacanthus
Acanthaceae,Polylychnis,Polylychnis
Acanthaceae,Polythrix,Crossandra
Acanthaceae,Polytrema,Ptyssiglottis
Acanthaceae,Populina,Populina
Acanthaceae,Porphyrocoma,Justicia
Acanthaceae,Pounguia,Whitfieldia
Acanthaceae,Pranceacanthus,Pranceacanthus
Acanthaceae,Pringleophytum,Holographis
Acanthaceae,Prionitis,Barleria
Acanthaceae,Psacadocalymma,Justicia
Acanthaceae,Psacadopaepale,Strobilanthes
Acanthaceae,Pseudacanthopale,Strobilanthopsis
Acanthaceae,Pseudaechmanhera,Pseudaechmanhera
Acanthaceae,Pseudaechmanthera,Strobilanthes
Acanthaceae,Pseuderanthemum,Pseuderanthemum
Acanthaceae,Pseudobarleria,Petalidium
Acanthaceae,Pseudo-Barleria,Barleria
Acanthaceae,Pseudoblepharis,Sclerochiton
Acanthaceae,Pseudocalyx,Pseudocalyx
Acanthaceae,Pseudodicliptera,Pseudodicliptera
Acanthaceae,Pseudoruellia,Pseudoruellia
Acanthaceae,Pseudostenosiphonium,Strobilanthes
Acanthaceae,Psilanthele,Psilanthele
Acanthaceae,Psiloesthes,Peristrophe
Acanthaceae,Pteracanthus,Strobilanthes
Acanthaceae,Pteroptychia,Strobilanthes
Acanthaceae,Ptyssiglottis,Ptyssiglottis
Acanthaceae,Pulchranthus,Pulchranthus
Acanthaceae,Pupilla,Justicia
Acanthaceae,Pyrrothrix,Strobilanthes
Acanthaceae,Ramusia,Peristrophe
Acanthaceae,Razisea,Razisea
Acanthaceae,Rhacodiscus,Justicia
Acanthaceae,Rhaphidospora,Justicia
Acanthaceae,Rhinacanthus,Rhinacanthus
Acanthaceae,Rhiphidosperma,Justicia
Acanthaceae,Rhombochlamys,Rhombochlamys
Acanthaceae,Rhyticalymma,Justicia
Acanthaceae,Rhytiglossa,Isoglossa
Acanthaceae,Ritonia,Ritonia
Acanthaceae,Rodatia,Justicia
Acanthaceae,Rostellularia,Justicia
Acanthaceae,Ruellia,Ruellia
Acanthaceae,Ruelliola,Brillantaisia
Acanthaceae,Ruelliopsis,Ruelliopsis
Acanthaceae,Rungia,Rungia
Acanthaceae,Ruspolia,Ruspolia
Acanthaceae,Ruttya,Ruttya
Acanthaceae,Saglorithys,Justicia
Acanthaceae,Saintpauliopsis,Saintpauliopsis
Acanthaceae,Salpinctium,Asystasia
Acanthaceae,Salpingantha,Salpixantha
Acanthaceae,Salpinxantha,Salpixantha
Acanthaceae,Salpixantha,Salpixantha
Acanthaceae,Salviacanthus,Justicia
Acanthaceae,Samuelssonia,Samuelssonia
Acanthaceae,Sanchezia,Sanchezia
Acanthaceae,Santapaua,Hygrophila
Acanthaceae,Sapphoa,Sapphoa
Acanthaceae,Sarojusticia,Justicia
Acanthaceae,Sarotheca,Justicia
Acanthaceae,Satanocrater,Satanocrater
Acanthaceae,Sautiera,Sautiera
Acanthaceae,Schawbea,Schawbea
Acanthaceae,Schliebenia,Isoglossa
Acanthaceae,Schwabea,Monechma
Acanthaceae,Sciaphyllum,Sciaphyllum
Acanthaceae,Sclerocalyx,Ruellia
Acanthaceae,Sclerochiton,Sclerochiton
Acanthaceae,Scorodoxylum,Scorodoxylum
Acanthaceae,Scytanthus,Thomandersia
Acanthaceae,Sebastiano-Schaueria,Sebastiano-Schaueria
Acanthaceae,Sebschauera,Sebschauera
Acanthaceae,Semnostachya,Strobilanthes
Acanthaceae,Semnothyrsus,Strobilanthes
Acanthaceae,Senkebergia,Senkebergia
Acanthaceae,Sericobonia,Sericobonia
Acanthaceae,Sericocalyx,Strobilanthes
Acanthaceae,Sericographis,Justicia
Acanthaceae,Sericospora,Sericospora
Acanthaceae,Simonisia,Justicia
Acanthaceae,Sinthroblastes,Strobilanthes
Acanthaceae,Siphonacanthus,Siphonacanthus
Acanthaceae,Siphoneranthemum,Siphoneranthemum
Acanthaceae,Siphonoglossa,Siphonoglossa
Acanthaceae,Solaenacanthus,Solaenacanthus
Acanthaceae,Solenochasma,Justicia
Acanthaceae,Solenoruellia,Henrya
Acanthaceae,Solenostyles,Solenostyles
Acanthaceae,Sooia,Epiclastopelma
Acanthaceae,Spathacanthus,Spathacanthus
Acanthaceae,Sphacanthus,Sphacanthus
Acanthaceae,Sphinctacanthus,Sphinctacanthus
Acanthaceae,Spirostigma,Spirostigma
Acanthaceae,Sreemadhavana,Aphelandra
Acanthaceae,Stachyacanthus,Stachyacanthus
Acanthaceae,Standleyacanthus,Standleyacanthus
Acanthaceae,Staurogyne,Staurogyne
Acanthaceae,Staurogynopsis,Staurogyne
Acanthaceae,Steirosanchezia,Sanchezia
Acanthaceae,Stemonacanthus,Stemonacanthus
Acanthaceae,Stenandriopsis,Stenandriopsis
Acanthaceae,Stenandrium,Stenandrium
Acanthaceae,Stenoschista,Ruellia
Acanthaceae,Stenosiphonium,Stenosiphonium
Acanthaceae,Stenostephanus,Stenostephanus
Acanthaceae,Stenothyrsus,Stenothyrsus
Acanthaceae,Stephanophysum,Ruellia
Acanthaceae,Stethoma,Justicia
Acanthaceae,Streblacanthus,Streblacanthus
Acanthaceae,Streptosiphon,Streptosiphon
Acanthaceae,Strobilacanthus,Strobilacanthus
Acanthaceae,Strobilanthes,Strobilanthes
Acanthaceae,Strobilanthopsis,Strobilanthopsis
Acanthaceae,Strobilanthus,Strobilanthus
Acanthaceae,Strobilorhachis,Aphelandra
Acanthaceae,Strophacanthus,Isoglossa
Acanthaceae,Styasasia,Styasasia
Acanthaceae,Stylarthropus,Whitfieldia
Acanthaceae,Suessenguthia,Suessenguthia
Acanthaceae,Sympagis,Strobilanthes
Acanthaceae,Symplectochilus,Anisotes
Acanthaceae,Synchoriste,Lasiocladus
Acanthaceae,Synnema,Hygrophila
Acanthaceae,Syringidium,Habracanthus
Acanthaceae,Tabascina,Justicia
Acanthaceae,Tacoanthus,Tacoanthus
Acanthaceae,Taeniandra,Strobilanthes
Acanthaceae,Tarphochlamys,Strobilanthes
Acanthaceae,Teliostachya,Teliostachya
Acanthaceae,Tessmanniacanthus,Tessmanniacanthus
Acanthaceae,Tetraglochidium,Strobilanthes
Acanthaceae,Tetragoga,Strobilanthes
Acanthaceae,Tetragompha,Strobilanthes
Acanthaceae,Thalestris,Justicia
Acanthaceae,Thamnojusticia,Justicia
Acanthaceae,Theileamea,Chlamydacanthus
Acanthaceae,Thelepaepale,Strobilanthes
Acanthaceae,Thomandersia,Thomandersia
Acanthaceae,Thunbergia,Thunbergia
Acanthaceae,Thyrsacanthus,Odontonema
Acanthaceae,Thysanostigma,Thysanostigma
Acanthaceae,Tremacanthus,Tremacanthus
Acanthaceae,Triaenacanthus,Strobilanthes
Acanthaceae,Triaenanthus,Triaenanthus
Acanthaceae,Trichacanthus,Blepharis
Acanthaceae,Trichanthera,Trichanthera
Acanthaceae,Trichaulax,Trichaulax
Acanthaceae,Trichosanchezia,Trichosanchezia
Acanthaceae,Trybliocalyx,Chileranthemum
Acanthaceae,Tubiflora,Elytraria
Acanthaceae,Tyloglossa,Justicia
Acanthaceae,Ulleria,Ruellia
Acanthaceae,Vavara,Vavara
Acanthaceae,Vindasia,Vindasia
Acanthaceae,Volkensiophyton,Lepidagathis
Acanthaceae,Warpuria,Podorungia
Acanthaceae,Whitfieldia,Whitfieldia
Acanthaceae,Xantheranthemum,Xantheranthemum
Acanthaceae,Xanthostachya,Strobilanthes
Acanthaceae,Xenacanthus,Strobilanthes
Acanthaceae,Xerothamnella,Xerothamnella
Acanthaceae,Yeatesia,Yeatesia
Acanthaceae,Zenkerina,Staurogyne
Acanthaceae,Zygoruellia,Zygoruellia
Aceraceae,Acer,Acer
Aceraceae,Dipteronia,Dipteronia
Achariaceae,Acharia,Acharia
Achariaceae,Ceratiosicyos,Ceratiosicyos
Achariaceae,Chilmoria,Chilmoria
Achariaceae,Guthriea,Guthriea
Achatocarpaceae,Achatocarpus,Achatocarpus
Achatocarpaceae,Phaulothamnus,Phaulothamnus
Acoraceae,Acorus,Acorus
Acrobolbaceae,Acrobolbus,Acrobolbus
Acrobolbaceae,Austrolophozia,Austrolophozia
Acrobolbaceae,Enigmella,Enigmella
Acrobolbaceae,Goebelobryum,Goebelobryum
Acrobolbaceae,Gymnanthe,Gymnanthe
Acrobolbaceae,Lethocolea,Lethocolea
Acrobolbaceae,Marsupidium,Marsupidium
Acrobolbaceae,Podanthe,Podanthe
Acrobolbaceae,Symphyomitra,Symphyomitra
Acrobolbaceae,Tylimanthus,Tylimanthus
Actinidiaceae,Actinidia,Actinidia
Actinidiaceae,Apatelia,Apatelia
Actinidiaceae,Clematoclethra,Clematoclethra
Actinidiaceae,Saurauia,Saurauia
Actiniopteridaceae,Actiniopteris,Actiniopteris
Adelanthaceae,Adelocolia,Adelocolia
Adelanthaceae,Calyptrocolea,Calyptrocolea
Adelanthaceae,Pseudomarsupidium,Pseudomarsupidium
Adiantaceae,Heteropteris,Doryopteris
Adiantaceae,Hewardia,Adiantum
Adiantaceae,Platytaenia,Taenitis
Adiantaceae,Gymnopteris,Gymnopteris
Adiantaceae,Llavea,Llavea
Adiantaceae,Onychium,Onychium
Adiantaceae,Adiantopsis,Adiantopsis
Adiantaceae,Adiantum,Adiantum
Adiantaceae,Aleuritopteris,Cheilanthes
Adiantaceae,Allosorus,Cheilanthes
Adiantaceae,Anogramma,Anogramma
Adiantaceae,Argyrochosma,Cheilanthes
Adiantaceae,Aspidotis,Aspidotis
Adiantaceae,Aspleniopsis,Austrogramme
Adiantaceae,Austrogramme,Austrogramme
Adiantaceae,Bakeropteris,Cassebeera
Adiantaceae,Bommeria,Bommeria
Adiantaceae,Botryogramme,Llavea
Adiantaceae,Callogramme,Syngramma
Adiantaceae,Calomelanos,Pityrogramma
Adiantaceae,Cassebeera,Cassebeera
Adiantaceae,Ceratodactylis,Llavea
Adiantaceae,Ceropteris,Pityrogramma
Adiantaceae,Cerosora,Cerosora
Adiantaceae,Cheilanthes,Cheilanthes
Adiantaceae,Cheiloplecton,Cheiloplecton
Adiantaceae,Cheilosoria,Pellaea
Adiantaceae,Choristosoria,Pellaea
Adiantaceae,Chrysochosma,Cheilanthes
